diagramm	current/voltage
	
	
0.02645	1.056
0.07762	1.066
0.1521	1.081
0.20562	1.091
0.25752	1.101
0.30984	1.111
0.36222	1.121
0.4146	1.131
0.46762	1.141
0.52063	1.151
0.57397	1.161
0.62698	1.171
0.68063	1.181
0.7346	1.191
0.78889	1.201
0.84286	1.211
0.89714	1.221
0.95206	1.231
1.00698	1.241
1.06254	1.251
1.11778	1.261
1.17333	1.271
1.22889	1.281
1.3127	1.299
1.38508	1.309
1.44063	1.319
1.49746	1.329
1.55429	1.339
1.61111	1.349
1.66762	1.359
1.72508	1.369
1.78254	1.379
1.83968	1.389
1.8981	1.399
1.95619	1.409
2.01397	1.419
2.0727	1.429
2.13079	1.439
2.18952	1.449
2.24825	1.459
2.30762	1.469
2.36635	1.479
2.42603	1.489
2.48635	1.499
2.54635	1.509
2.60667	1.519
2.66698	1.529
2.72794	1.539
2.78825	1.549
2.84889	1.559
2.90984	1.569
2.97143	1.579
3.03175	1.589
3.09238	1.599
3.15302	1.61
3.21587	1.619
3.27619	1.629
3.33651	1.639
3.4	1.649
3.46032	1.659
3.52381	1.669
3.5873	1.679
3.64762	1.689
3.71111	1.699
3.7746	1.709
3.8381	1.719
3.90159	1.729
3.9619	1.739
4.0254	1.749
4.08889	1.759
4.14921	1.769
4.21587	1.779
4.27619	1.789
4.33651	1.799
4.4	1.809
4.46349	1.819
4.52698	1.829
4.59048	1.839
4.65079	1.849
4.71429	1.859
4.77778	1.869
4.8381	1.879
4.89841	1.889
4.95873	1.899
5.01905	1.909
5.07937	1.919
5.13968	1.929
5.2	1.939
5.25714	1.949
5.31429	1.959
5.3746	1.969
5.43175	1.979
5.48889	1.989
5.54603	1.999
5.60317	2.009
5.66032	2.019
5.71746	2.029
5.77143	2.039
5.8254	2.049
5.88254	2.059
5.93651	2.069
5.99048	2.079
6.04444	2.089
6.09841	2.099
6.14603	2.108
