diagramm	
	
	
2.38476E-4	2.79017E-4
0.02104	0.0243
0.03356	0.03842
0.04733	0.05372
0.05971	0.06718
0.07337	0.0818
0.08556	0.09454
0.09914	0.10856
0.11152	0.121
0.12419	0.1335
0.13521	0.14399
0.14987	0.15812
0.16229	0.16959
0.17533	0.18147
0.18771	0.19241
0.20044	0.20345
0.21362	0.21469
0.22654	0.22541
0.23886	0.23527
0.25273	0.24641
0.26575	0.25644
0.27911	0.26655
0.29203	0.27597
0.30587	0.28599
0.31937	0.29541
0.33397	0.30558
0.34794	0.31488
0.36286	0.32476
0.37714	0.33377
0.3927	0.34361
0.40762	0.35259
0.42349	0.36209
0.43937	0.37126
0.45587	0.38065
0.47206	0.38945
0.48921	0.3987
0.50667	0.40787
0.52444	0.41693
0.54286	0.42614
0.56032	0.43425
0.57937	0.44321
0.5981	0.45156
0.6181	0.46048
0.63746	0.46853
0.65778	0.47689
0.67841	0.48507
0.69968	0.49328
0.72127	0.50128
0.74286	0.50886
0.76508	0.51643
0.78762	0.52377
0.81079	0.53107
0.83429	0.53811
0.85841	0.54509
0.88254	0.55159
0.90698	0.5578
0.93238	0.56409
0.9581	0.57007
0.98349	0.57534
1.00952	0.58048
1.03587	0.58527
1.06349	0.59024
1.09048	0.59431
1.11841	0.59835
1.14603	0.60167
1.17492	0.60508
1.20317	0.6076
1.21778	0.60889
1.2181	0.60296
1.26286	0.61249
1.30667	0.60891
1.34508	0.61336
1.37556	0.6135
1.40603	0.61303
1.43683	0.61209
1.46825	0.61079
1.50032	0.60913
1.5327	0.60695
1.56476	0.604
1.59746	0.60065
1.63143	0.5971
1.66444	0.59254
1.69841	0.58765
1.73238	0.58208
1.76667	0.57593
1.80159	0.5693
1.83619	0.56187
1.8581	0.55743
1.85397	0.54692
1.91143	0.54476
1.94635	0.53525
1.98159	0.52512
2.01746	0.51445
2.05175	0.50268
2.08762	0.49059
2.12444	0.478
2.16127	0.46467
2.19683	0.45035
2.20063	0.44013
