diagramm	
	
	
4.47937E-4	4.83771E-4
0.02126	0.02271
0.03981	0.04212
0.05825	0.06105
0.07673	0.07965
0.0953	0.09797
0.11387	0.11592
0.13851	0.13906
0.15895	0.158
0.17797	0.17512
0.19695	0.19183
0.21606	0.20829
0.23517	0.22436
0.25444	0.2402
0.27384	0.25577
0.29324	0.27095
0.3127	0.28581
0.33238	0.30047
0.35175	0.31446
0.37175	0.32862
0.39143	0.34211
0.41143	0.35547
0.43111	0.36817
0.45111	0.38074
0.47143	0.39317
0.49143	0.40494
0.51175	0.41656
0.53206	0.42778
0.55238	0.43859
0.57302	0.44924
0.59333	0.45924
0.61397	0.46907
0.6346	0.47849
0.65556	0.48773
0.67619	0.49632
0.69714	0.50473
0.71841	0.51295
0.73937	0.52051
0.76063	0.52788
0.78222	0.53504
0.80349	0.54155
0.8254	0.54806
0.8473	0.55414
0.86889	0.55956
0.89111	0.56496
0.91302	0.56972
0.93524	0.57424
0.95746	0.57831
0.98	0.58212
1.00222	0.5853
1.02476	0.58821
1.0473	0.59068
1.07016	0.59287
1.09302	0.5946
1.11587	0.59588
1.13873	0.59669
1.1619	0.59722
1.18508	0.59728
1.20825	0.59688
1.23175	0.59617
1.25492	0.59483
1.27873	0.59333
1.28952	0.58544
1.32032	0.58622
1.34444	0.58349
1.36794	0.58001
1.39143	0.57605
1.41524	0.57176
1.4381	0.56661
1.46254	0.56162
1.48603	0.55578
1.50984	0.54958
1.53397	0.54302
1.55714	0.53566
1.58127	0.52814
1.60508	0.52005
1.62825	0.51127
1.65175	0.50213
1.67556	0.49261
1.69841	0.48235
1.7219	0.4718
1.74381	0.46037
1.76794	0.44906
1.79079	0.43695
1.81333	0.42432
1.83619	0.41131
1.85841	0.3977
1.88095	0.38371
1.90349	0.36928
1.92635	0.35445
1.94825	0.339
1.97016	0.32311
1.99175	0.30673
2.01397	0.29001
2.03556	0.27276
2.05683	0.25505
2.07841	0.23694
2.10095	0.2185
2.12254	0.19952
2.14413	0.18011
2.16571	0.16026
2.1873	0.13999
2.20857	0.11926
2.23143	0.09818
2.25175	0.07656
2.27333	0.05456
2.29492	0.03213
2.31651	0.01158
