diagramm	
	
	
0.38067	0.26342
0.51273	0.35224
0.8743	0.5919
1.0541	0.70308
1.61257	1.05946
2.23548	1.44636
2.62371	1.6713
3.16786	1.97674
3.7494	2.30213
4.16786	2.51739
4.5712	2.71529
5.43755	3.17553
5.72395	3.28554
6.0716	3.42438
6.50517	3.60386
6.28162	3.4172
6.65314	3.55278
7.09626	3.71844
7.67701	3.94598
8.36118	4.21403
9.14081	4.5247
9.45903	4.58763
9.93636	4.71977
10.26253	4.77208
10.67621	4.85768
11.17741	4.97395
11.30469	4.91754
11.66269	4.95664
12.20366	5.06452
12.25139	4.96181
12.6969	5.01527
11.38425	4.38294
13.56404	5.08652
14.48687	5.28771
14.53461	5.15979
15.29833	5.27792
15.75975	5.27951
16.38823	5.32617
17.32697	5.458
17.47812	5.33083
17.36675	5.21002
17.72474	5.2288
18.45664	5.26014
19.21241	5.28341
19.73747	5.23043
20.0716	5.11826
20.03182	4.9078
20.81146	4.89069
21.43198	4.8222
22.23548	4.78063
22.23548	4.55827
23.0708	4.61416
