diagramm	
	
	
	
	--
	--
0.00672	0.00509
0.72005	0.53644
1.66428	1.22491
2.43516	1.76549
3.22037	2.29934
4.08433	2.87537
4.7677	3.30878
5.47892	3.74758
6.29356	4.24186
7.09069	4.70822
7.93795	5.19142
8.77486	5.65101
9.41925	5.9718
10.03182	6.25986
10.53302	6.46727
11.3922	6.88089
12.27526	7.2915
13.02307	7.60547
13.76293	7.89992
14.56643	8.21547
15.41766	8.54138
16.17343	8.79835
17.04057	9.09966
17.82021	9.33779
18.58393	9.55214
19.27605	9.71513
19.59427	9.69916
20.41368	9.90063
21.05807	10.00258
21.8934	10.18043
22.45823	10.21849
22.99125	10.23111
23.73906	10.32649
24.13683	10.25815
25.16309	10.44268
25.97454	10.51969
26.62689	10.51762
27.04057	10.41062
27.97136	10.48926
28.6794	10.46798
29.64996	10.52574
30.32617	10.46253
31.27287	10.47641
32.02068	10.40672
32.23548	10.15418
33.20605	10.12785
33.55609	10.06683
33.81862	9.97649
35.04375	9.98747
35.88703	9.86893
37.19968	9.85792
38.24185	9.75167
39.1965	9.60314
39.88067	9.37196
40.86714	9.19511
42.12411	9.05668
42.96738	8.80831
43.42084	8.68417
