diagramm	
	
	
1.80762E-5	1.93777E-5
0.0288	0.03059
0.06032	0.06345
0.09184	0.0957
0.14578	0.14942
0.17851	0.18119
0.2106	0.21166
0.24283	0.24161
0.27517	0.27105
0.30762	0.29993
0.34032	0.32841
0.37302	0.35623
0.40603	0.3837
0.43873	0.41021
0.47238	0.43695
0.50571	0.46273
0.53905	0.48784
0.5727	0.51257
0.60635	0.53662
0.64	0.56
0.67397	0.58298
0.70794	0.60529
0.74222	0.62718
0.77651	0.64838
0.81111	0.66917
0.8454	0.689
0.88032	0.70866
0.91492	0.72736
0.95016	0.74587
0.98508	0.76344
1.02032	0.78054
1.05587	0.79718
1.09143	0.81311
1.12698	0.82833
1.16286	0.84307
1.19873	0.85709
1.23492	0.87062
1.27111	0.88342
1.29587	0.88767
1.34032	0.90471
1.37651	0.91538
1.41302	0.92553
1.44921	0.93474
1.48667	0.94403
1.52349	0.95218
1.5619	0.96057
1.59841	0.96704
1.63651	0.97372
1.67365	0.97909
1.71238	0.98462
1.75016	0.98884
1.78857	0.99266
1.82635	0.99536
1.86571	0.99816
1.90381	0.9995
1.94254	1.00041
1.98159	1.0007
2.01968	0.99974
2.05905	0.99864
2.09873	0.9969
2.13841	0.99436
2.17683	0.99046
2.21714	0.98663
2.25619	0.98144
2.29556	0.97561
2.33492	0.96899
2.37556	0.9621
2.41492	0.95389
2.45524	0.94527
2.49524	0.93571
2.53587	0.92559
2.57492	0.9141
2.61492	0.90215
2.65429	0.88919
2.69397	0.87554
2.73302	0.8609
2.77206	0.84548
2.81175	0.82947
2.85111	0.81257
2.89048	0.79488
2.92984	0.77641
2.96857	0.75699
3.00667	0.73663
3.04476	0.71552
3.08222	0.6935
3.12032	0.67087
3.1581	0.64741
3.19683	0.62338
3.23175	0.59787
3.26984	0.57222
3.30476	0.54529
3.34286	0.51814
3.38095	0.49024
3.41587	0.46114
3.45079	0.43135
3.48889	0.40122
3.52381	0.37
3.55873	0.33808
3.59365	0.30546
3.62857	0.27214
3.66349	0.23813
3.69841	0.20341
3.73333	0.168
3.76508	0.13178
3.8	0.095
3.83175	0.05748
3.86667	0.01933
3.88254	0
