diagramm	
	
	
	
	--
	--
0.00133	0.00147
0.04397	0.04832
0.15721	0.16994
0.21708	0.23249
0.28092	0.29806
0.34063	0.358
0.39937	0.41574
0.46349	0.47786
0.52095	0.53189
0.58444	0.59087
0.64286	0.6435
0.70508	0.69873
0.76635	0.75179
0.82921	0.80516
0.88635	0.85178
0.9527	0.90602
1.01302	0.95325
1.07587	1.00163
1.13778	1.0479
1.20349	1.09638
1.26984	1.14413
1.31143	1.16848
1.39333	1.22752
1.46032	1.27194
1.52444	1.31254
1.58984	1.35295
1.66127	1.39713
1.7254	1.43381
1.79651	1.47493
1.86571	1.51309
1.9327	1.54809
2.00476	1.58577
2.07778	1.62275
2.14476	1.65361
2.22063	1.6899
2.29206	1.72134
2.36413	1.75182
2.44	1.78364
2.51302	1.81189
2.58508	1.83799
2.66921	1.87112
2.74254	1.8951
2.82127	1.92128
2.89937	1.94548
2.97524	1.96663
3.0546	1.98854
3.13206	2.00765
3.2127	2.02721
3.29524	2.04634
3.3746	2.06188
3.45714	2.07774
3.54286	2.09383
3.6254	2.10636
3.70794	2.11723
3.79683	2.13002
3.88254	2.13928
3.9746	2.15026
4.06032	2.15603
4.14921	2.16174
4.24444	2.16891
4.33333	2.17966
4.34286	2.14972
4.49206	2.17865
4.58413	2.17746
4.67937	2.17591
4.77143	2.171
4.87302	2.16849
4.96825	2.16119
5.06667	2.15333
5.16508	2.14351
5.26349	2.13171
5.36825	2.12046
5.46667	2.10467
5.57143	2.08929
5.67937	2.07297
5.78095	2.05224
5.88254	2.02948
5.9873	2.00575
6.09841	1.98198
6.20317	1.954
6.30794	1.92392
6.36508	1.90952
6.38413	1.88332
6.53333	1.862
6.64127	1.82635
6.75556	1.79022
6.86667	1.751
6.9746	1.70878
7.08889	1.66589
7.20317	1.62071
7.31746	1.57325
7.43175	1.52351
7.48889	1.49778
