diagramm	current/voltage
	
	
0.00672	0.757
0.72005	0.745
1.66428	0.736
2.43516	0.725
3.22037	0.714
4.08433	0.704
4.7677	0.694
5.47892	0.684
6.29356	0.674
7.09069	0.664
7.93795	0.654
8.77486	0.644
9.41925	0.634
10.03182	0.624
10.53302	0.614
11.3922	0.604
12.27526	0.594
13.02307	0.584
13.76293	0.574
14.56643	0.564
15.41766	0.554
16.17343	0.544
17.04057	0.534
17.82021	0.524
18.58393	0.514
19.27605	0.504
19.59427	0.495
20.41368	0.485
21.05807	0.475
21.8934	0.465
22.45823	0.455
22.99125	0.445
23.73906	0.435
24.13683	0.425
25.16309	0.415
25.97454	0.405
26.62689	0.395
27.04057	0.385
27.97136	0.375
28.6794	0.365
29.64996	0.355
30.32617	0.345
31.27287	0.335
32.02068	0.325
32.23548	0.315
33.20605	0.305
33.55609	0.3
33.81862	0.295
35.04375	0.285
35.88703	0.275
37.19968	0.265
38.24185	0.255
39.1965	0.245
39.88067	0.235
40.86714	0.225
42.12411	0.215
42.96738	0.205
43.42084	0.2
