diagramm	current/voltage
	
	
0.02645	1.056
0.07762	1.046
0.1521	1.031
0.20562	1.021
0.25752	1.011
0.30984	1.001
0.36222	0.991
0.4146	0.981
0.46762	0.971
0.52063	0.961
0.57397	0.951
0.62698	0.941
0.68063	0.931
0.7346	0.921
0.78889	0.911
0.84286	0.901
0.89714	0.891
0.95206	0.881
1.00698	0.871
1.06254	0.861
1.11778	0.851
1.17333	0.841
1.22889	0.831
1.3127	0.813
1.38508	0.803
1.44063	0.793
1.49746	0.783
1.55429	0.773
1.61111	0.763
1.66762	0.753
1.72508	0.743
1.78254	0.733
1.83968	0.723
1.8981	0.713
1.95619	0.703
2.01397	0.693
2.0727	0.683
2.13079	0.673
2.18952	0.663
2.24825	0.653
2.30762	0.643
2.36635	0.633
2.42603	0.623
2.48635	0.613
2.54635	0.603
2.60667	0.593
2.66698	0.583
2.72794	0.573
2.78825	0.563
2.84889	0.553
2.90984	0.543
2.97143	0.533
3.03175	0.523
3.09238	0.513
3.15302	0.502
3.21587	0.493
3.27619	0.483
3.33651	0.473
3.4	0.463
3.46032	0.453
3.52381	0.443
3.5873	0.433
3.64762	0.423
3.71111	0.413
3.7746	0.403
3.8381	0.393
3.90159	0.383
3.9619	0.373
4.0254	0.363
4.08889	0.353
4.14921	0.343
4.21587	0.333
4.27619	0.323
4.33651	0.313
4.4	0.303
4.46349	0.293
4.52698	0.283
4.59048	0.273
4.65079	0.263
4.71429	0.253
4.77778	0.243
4.8381	0.233
4.89841	0.223
4.95873	0.213
5.01905	0.203
5.07937	0.193
5.13968	0.183
5.2	0.173
5.25714	0.163
5.31429	0.153
5.3746	0.143
5.43175	0.133
5.48889	0.123
5.54603	0.113
5.60317	0.103
5.66032	0.093
5.71746	0.083
5.77143	0.073
5.8254	0.063
5.88254	0.053
5.93651	0.043
5.99048	0.033
6.04444	0.023
6.09841	0.013
6.14603	0.004
