File.......:   - APR,20.2017

System.....:  
Potential..:  -0.004V
Current....:  -27.175mA
Temperature:  unknown
Time.......:  18:58:32 - 19:00:16
Comment....:  
              
              
              
              
               
Impedance samples

Lines:   57
Columns: 5

Number   Frequency/Hz   impedance R/Ohm   impedance I/Ohm   Significance   Time/s 
   1      1.0000e+06       2.0313e+01        7.8203e+00        0.998           0.0
   2      7.9499e+05       1.9304e+01        6.2640e+00        0.998           1.1
   3      6.3201e+05       1.8631e+01        4.8683e+00        0.998           1.5
   4      5.0244e+05       1.8251e+01        3.4965e+00        0.999           2.0
   5      3.9943e+05       1.7976e+01        2.1027e+00        0.997           2.8
   6      3.1754e+05       1.7936e+01        1.1184e+00        0.998           3.5
   7      2.5244e+05       1.8137e+01        2.6887e-01        0.999           4.0
   8      2.0069e+05       1.8353e+01       -4.9382e-01        0.999           4.5
   9      1.5955e+05       1.8668e+01       -1.1423e+00        0.996           5.0
  10      1.2684e+05       1.9016e+01       -1.5830e+00        0.998           5.5
  11      1.0083e+05       1.9707e+01       -1.9474e+00        0.999           6.0
  12      8.0162e+04       2.0199e+01       -2.3211e+00        1.000           6.5
  13      6.3727e+04       2.0702e+01       -2.6137e+00        0.999           7.1
  14      5.0663e+04       2.1251e+01       -2.8545e+00        1.000           7.6
  15      4.0276e+04       2.1829e+01       -3.0386e+00        1.000           8.1
  16      3.2019e+04       2.2386e+01       -3.1605e+00        1.000           8.7
  17      2.5455e+04       2.2922e+01       -3.2549e+00        1.000           9.2
  18      2.0236e+04       2.3463e+01       -3.2922e+00        1.000           9.7
  19      1.6088e+04       2.4004e+01       -3.3050e+00        1.000          10.2
  20      1.2789e+04       2.4520e+01       -3.3398e+00        1.000          10.7
  21      1.0167e+04       2.5025e+01       -3.3191e+00        1.000          11.2
  22      8.0830e+03       2.5498e+01       -3.3017e+00        1.000          11.7
  23      6.4259e+03       2.5962e+01       -3.2489e+00        1.000          12.2
  24      5.1085e+03       2.6437e+01       -3.2582e+00        1.000          12.7
  25      4.0612e+03       2.6888e+01       -3.2864e+00        1.000          13.2
  26      3.2286e+03       2.7311e+01       -3.4158e+00        1.000          13.7
  27      2.5667e+03       2.7804e+01       -3.4588e+00        1.000          14.2
  28      2.0405e+03       2.8302e+01       -3.5089e+00        1.000          14.7
  29      1.6222e+03       2.8803e+01       -3.6561e+00        1.000          15.2
  30      1.2896e+03       2.9372e+01       -3.6812e+00        1.000          15.7
  31      1.0252e+03       2.9968e+01       -3.6912e+00        1.000          16.2
  32      8.1504e+02       3.0555e+01       -3.6881e+00        1.000          16.7
  33      6.4794e+02       3.1114e+01       -3.6031e+00        1.000          17.2
  34      5.1511e+02       3.1761e+01       -3.4782e+00        1.000          17.7
  35      4.0950e+02       3.2326e+01       -3.2529e+00        1.000          18.2
  36      3.2555e+02       3.2852e+01       -3.0795e+00        1.000          18.7
  37      2.5881e+02       3.3321e+01       -2.8742e+00        1.000          19.2
  38      2.0575e+02       3.3704e+01       -2.7033e+00        1.000          19.7
  39      1.6357e+02       3.4085e+01       -2.4707e+00        1.000          20.2
  40      1.3004e+02       3.4419e+01       -2.2182e+00        1.000          20.7
  41      1.0338e+02       3.4708e+01       -2.0666e+00        1.000          21.3
  42      8.2183e+01       3.4977e+01       -1.7742e+00        1.000          21.9
  43      6.5630e+01       3.5176e+01       -1.6097e+00        1.000          22.6
  44      5.1793e+01       3.5034e+01       -1.9392e+00        1.000          24.0
  45      4.0333e+01       3.5877e+01       -1.2938e+00        1.000          25.8
  46      3.0941e+01       3.6048e+01       -1.1656e+00        1.000          27.3
  47      2.3336e+01       3.6324e+01       -9.9357e-01        1.000          28.9
  48      1.7264e+01       3.6505e+01       -8.1749e-01        1.000          30.7
  49      1.2492e+01       3.6566e+01       -5.6456e-01        0.999          32.8
  50      8.8124e+00       3.6649e+01       -4.5247e-01        1.000          35.2
  51      6.0391e+00       3.6774e+01       -3.1330e-01        1.000          38.2
  52      4.0045e+00       3.6777e+01       -2.1953e-01        1.000          42.0
  53      2.5599e+00       3.6929e+01       -1.6654e-01        1.000          46.9
  54      1.5737e+00       3.6708e+01       -5.2333e-02        1.000          54.6
  55      9.3109e-01       3.6707e+01       -1.3284e-01        0.999          64.3
  56      5.3348e-01       3.6901e+01       -8.2280e-02        0.999          77.6
  57      3.0000e-01       3.7230e+01        1.6344e-01        1.000          96.5

