diagramm	current/voltage
	
	
0.02596	1.137
0.05308	1.127
0.07571	1.117
0.09949	1.107
0.14171	1.09
0.16762	1.08
0.19194	1.07
0.21578	1.06
0.23914	1.05
0.26343	1.04
0.28752	1.03
0.31162	1.02
0.33587	1.01
0.35968	1
0.38381	0.99
0.40794	0.98
0.43365	0.97
0.45873	0.96
0.48286	0.95
0.5073	0.94
0.53206	0.93
0.55778	0.92
0.58349	0.91
0.60952	0.9
0.63556	0.89
0.6619	0.88
0.68889	0.87
0.71619	0.86
0.74381	0.85
0.77175	0.84
0.8	0.83
0.82889	0.82
0.8581	0.81
0.88762	0.8
0.91778	0.79
0.94825	0.78
0.97905	0.77
1.01048	0.76
1.04222	0.75
1.07492	0.74
1.10794	0.73
1.14095	0.72
1.1746	0.71
1.20889	0.7
1.24349	0.69
1.27841	0.68
1.30159	0.67
1.34508	0.66
1.38127	0.65
1.4181	0.64
1.45587	0.63
1.49429	0.62
1.5327	0.61
1.57206	0.6
1.61175	0.59
1.65206	0.58
1.6927	0.57
1.73429	0.56
1.77556	0.55
1.8181	0.54
1.86	0.53
1.90286	0.52
1.94571	0.509
1.98349	0.502
1.99778	0.495
2.05429	0.485
2.10032	0.475
2.14667	0.465
2.19333	0.455
2.24095	0.445
2.28889	0.435
2.33714	0.425
2.38635	0.415
2.43587	0.405
2.48571	0.395
2.53651	0.385
2.58698	0.375
2.63905	0.365
2.69079	0.355
2.74254	0.345
2.79492	0.335
2.84952	0.325
2.90349	0.315
2.95905	0.305
2.98667	0.3
2.99905	0.295
3.07238	0.285
3.12762	0.275
3.18413	0.265
3.24127	0.255
3.29841	0.245
3.35556	0.235
3.41587	0.225
3.47302	0.215
3.53333	0.205
3.56508	0.2
