diagramm	current/voltage
	
	
2.38476E-4	1.17
0.02104	1.155
0.03356	1.145
0.04733	1.135
0.05971	1.125
0.07337	1.115
0.08556	1.105
0.09914	1.095
0.11152	1.085
0.12419	1.075
0.13521	1.065
0.14987	1.055
0.16229	1.045
0.17533	1.035
0.18771	1.025
0.20044	1.015
0.21362	1.005
0.22654	0.995
0.23886	0.985
0.25273	0.975
0.26575	0.965
0.27911	0.955
0.29203	0.945
0.30587	0.935
0.31937	0.925
0.33397	0.915
0.34794	0.905
0.36286	0.895
0.37714	0.885
0.3927	0.875
0.40762	0.865
0.42349	0.855
0.43937	0.845
0.45587	0.835
0.47206	0.825
0.48921	0.815
0.50667	0.805
0.52444	0.795
0.54286	0.785
0.56032	0.775
0.57937	0.765
0.5981	0.755
0.6181	0.745
0.63746	0.735
0.65778	0.725
0.67841	0.715
0.69968	0.705
0.72127	0.695
0.74286	0.685
0.76508	0.675
0.78762	0.665
0.81079	0.655
0.83429	0.645
0.85841	0.635
0.88254	0.625
0.90698	0.615
0.93238	0.605
0.9581	0.595
0.98349	0.585
1.00952	0.575
1.03587	0.565
1.06349	0.555
1.09048	0.545
1.11841	0.535
1.14603	0.525
1.17492	0.515
1.20317	0.505
1.21778	0.5
1.2181	0.495
1.26286	0.485
1.30667	0.466
1.34508	0.456
1.37556	0.446
1.40603	0.436
1.43683	0.426
1.46825	0.416
1.50032	0.406
1.5327	0.396
1.56476	0.386
1.59746	0.376
1.63143	0.366
1.66444	0.356
1.69841	0.346
1.73238	0.336
1.76667	0.326
1.80159	0.316
1.83619	0.306
1.8581	0.3
1.85397	0.295
1.91143	0.285
1.94635	0.275
1.98159	0.265
2.01746	0.255
2.05175	0.245
2.08762	0.235
2.12444	0.225
2.16127	0.215
2.19683	0.205
2.20063	0.2
